CurrentOpen,CurrentClose,CurrentAsk,Profit,closeReason,Action
1548.99,1548.35,1548.490000,-5.10000000,closeByStopLossNonProfitable,buy
1548.99,1548.28,1548.420000,-4.97000000,closeByStopLossNonProfitable,buy
1548.99,1548.26,1548.400000,-5.05000000,closeByStopLossNonProfitable,buy
1557.65,1557.74,1557.860000,9.00000000,closeByTakeProfit,buy
1557.65,1557.9,1558.020000,-2.53000000,closeByStopLossNonProfitable,sell
1557.65,1557.9,1558.020000,-2.57000000,closeByStopLossNonProfitable,sell
1557.65,1557.97,1558.090000,9.01000000,closeByTakeProfit,buy
1557.61,1558.26,1558.400000,9.01000000,closeByTakeProfit,buy
1557.85,1558.55,1558.700000,9.01000000,closeByTakeProfit,buy
1557.67,1557.85,1558.010000,-0.23000000,closeByStopLossNonProfitable,sell
1557.67,1557.85,1558.010000,-0.44000000,closeByStopLossNonProfitable,sell
1558.21,1557.88,1558.010000,0.21000000,closeByStopLossProfitable,sell
1557.45,1557.85,1558.010000,-0.07000000,closeByStopLossNonProfitable,sell
1557.45,1557.85,1558.010000,-0.56000000,closeByStopLossNonProfitable,sell
1557.75,1557.86,1558.010000,-0.49000000,closeByStopLossNonProfitable,sell
1557.75,1557.86,1558.010000,-0.78000000,closeByStopLossNonProfitable,sell
1557.75,1557.86,1558.010000,-1.42000000,closeByStopLossNonProfitable,sell
1555.19,1555.01,1555.180000,-1.58000000,closeByStopLossNonProfitable,buy
1552.81,1551.18,1551.300000,-3.07000000,closeByStopLossNonProfitable,buy
1553.27,1553.34,1553.540000,-1.16000000,closeByStopLossNonProfitable,sell
1553.27,1553.34,1553.540000,-0.75000000,closeByStopLossNonProfitable,sell
1553.27,1553.34,1553.540000,-1.09000000,closeByStopLossNonProfitable,sell
1553.27,1553.37,1553.570000,-1.09000000,closeByStopLossNonProfitable,sell
1553.27,1553.42,1553.620000,-1.08000000,closeByStopLossNonProfitable,sell
1553.27,1553.42,1553.620000,-1.03000000,closeByStopLossNonProfitable,sell
1553.27,1553.42,1553.620000,-1.00000000,closeByStopLossNonProfitable,sell
1553.27,1553.42,1553.620000,-0.92000000,closeByStopLossNonProfitable,sell
1553.27,1553.46,1553.660000,-1.07000000,closeByStopLossNonProfitable,sell
1553.04,1553.18,1553.290000,-0.27000000,closeByStopLossNonProfitable,sell
1553.04,1553.18,1553.290000,-0.32000000,closeByStopLossNonProfitable,sell
1553.04,1553.18,1553.290000,-0.67000000,closeByStopLossNonProfitable,sell
1553.04,1553.18,1553.290000,-0.78000000,closeByStopLossNonProfitable,sell
1553.04,1553.18,1553.290000,-0.87000000,closeByStopLossNonProfitable,sell
1553.04,1553.18,1553.290000,-0.70000000,closeByStopLossNonProfitable,sell
1553.04,1553.18,1553.290000,-1.01000000,closeByStopLossNonProfitable,sell
1553.04,1553.18,1553.290000,-0.95000000,closeByStopLossNonProfitable,sell
1553.04,1553.18,1553.290000,-1.07000000,closeByStopLossNonProfitable,sell
1553.04,1553.18,1553.290000,-1.03000000,closeByStopLossNonProfitable,sell
1554.96,1555.56,1555.670000,-1.53000000,closeByStopLossNonProfitable,sell
1555.41,1555.53,1555.690000,-1.36000000,closeByStopLossNonProfitable,sell
1555.41,1555.53,1555.690000,-1.80000000,closeByStopLossNonProfitable,sell
1555.41,1555.58,1555.740000,-1.44000000,closeByStopLossNonProfitable,sell
1555.41,1555.58,1555.740000,-1.45000000,closeByStopLossNonProfitable,sell
1555.41,1555.61,1555.770000,-1.58000000,closeByStopLossNonProfitable,sell
1555.41,1555.61,1555.770000,-1.27000000,closeByStopLossNonProfitable,sell
1555.41,1555.65,1555.810000,-1.30000000,closeByStopLossNonProfitable,sell
1555.41,1555.65,1555.810000,-1.41000000,closeByStopLossNonProfitable,sell
1555.41,1555.83,1555.990000,-1.80000000,closeByStopLossNonProfitable,sell
1557.45,1557.51,1557.650000,-1.63000000,closeByStopLossNonProfitable,sell
1557.45,1557.56,1557.700000,-1.72000000,closeByStopLossNonProfitable,sell
1557.45,1557.64,1557.780000,-2.09000000,closeByStopLossNonProfitable,sell
1557.45,1557.66,1557.800000,-2.11000000,closeByStopLossNonProfitable,sell
1558.45,1558.71,1558.880000,-1.55000000,closeByStopLossNonProfitable,sell
1558.45,1558.71,1558.880000,-1.93000000,closeByStopLossNonProfitable,sell
1558.68,1558.75,1558.900000,-2.17000000,closeByStopLossNonProfitable,sell
1558.68,1558.81,1558.960000,-1.49000000,closeByStopLossNonProfitable,sell
1558.68,1558.81,1558.960000,-1.91000000,closeByStopLossNonProfitable,sell
1558.68,1558.81,1558.960000,-2.07000000,closeByStopLossNonProfitable,sell
1558.68,1558.81,1558.960000,-1.85000000,closeByStopLossNonProfitable,sell
1558.68,1558.81,1558.960000,-1.44000000,closeByStopLossNonProfitable,sell
1558.68,1558.81,1558.960000,-1.52000000,closeByStopLossNonProfitable,sell
1558.68,1558.83,1558.980000,-1.63000000,closeByStopLossNonProfitable,sell
